[2017-07-14 13:16:27] Downloading update (3,717 of 6,284 KB)...
[2017-07-14 13:16:27] Downloading update (3,765 of 6,284 KB)...
[2017-07-14 13:16:28] Downloading update (3,770 of 6,284 KB)...
[2017-07-14 13:16:28] Downloading update (3,789 of 6,284 KB)...
[2017-07-14 13:16:28] Downloading update (3,822 of 6,284 KB)...
[2017-07-14 13:16:28] Downloading update (3,853 of 6,284 KB)...
[2017-07-14 13:16:29] Downloading update (3,857 of 6,284 KB)...
[2017-07-14 13:16:29] Downloading update (3,864 of 6,284 KB)...
[2017-07-14 13:16:29] Downloading update (3,877 of 6,284 KB)...
[2017-07-14 13:16:30] Downloading update (3,888 of 6,284 KB)...
[2017-07-14 13:16:30] Downloading update (3,942 of 6,284 KB)...
[2017-07-14 13:16:30] Downloading update (3,945 of 6,284 KB)...
[2017-07-14 13:16:31] Downloading update (3,961 of 6,284 KB)...
[2017-07-14 13:16:31] Downloading update (4,022 of 6,284 KB)...
[2017-07-14 13:16:32] Downloading update (4,028 of 6,284 KB)...
[2017-07-14 13:16:32] Downloading update (4,065 of 6,284 KB)...
[2017-07-14 13:16:32] Downloading update (4,077 of 6,284 KB)...
[2017-07-14 13:16:33] Downloading update (4,113 of 6,284 KB)...
[2017-07-14 13:16:33] Downloading update (4,153 of 6,284 KB)...
[2017-07-14 13:16:33] Downloading update (4,171 of 6,284 KB)...
[2017-07-14 13:16:33] Downloading update (4,178 of 6,284 KB)...
[2017-07-14 13:16:34] Downloading update (4,222 of 6,284 KB)...
[2017-07-14 13:16:34] Downloading update (4,240 of 6,284 KB)...
[2017-07-14 13:16:34] Downloading update (4,291 of 6,284 KB)...
[2017-07-14 13:16:35] Downloading update (4,310 of 6,284 KB)...
[2017-07-14 13:16:35] Downloading update (4,341 of 6,284 KB)...
[2017-07-14 13:16:35] Downloading update (4,357 of 6,284 KB)...
[2017-07-14 13:16:35] Downloading update (4,379 of 6,284 KB)...
[2017-07-14 13:16:36] Downloading update (4,396 of 6,284 KB)...
[2017-07-14 13:16:36] Downloading update (4,397 of 6,284 KB)...
[2017-07-14 13:16:37] Downloading update (4,398 of 6,284 KB)...
[2017-07-14 13:16:37] Downloading update (4,406 of 6,284 KB)...
[2017-07-14 13:16:37] Downloading update (4,417 of 6,284 KB)...
[2017-07-14 13:16:38] Downloading update (4,453 of 6,284 KB)...
[2017-07-14 13:16:38] Downloading update (4,454 of 6,284 KB)...
[2017-07-14 13:16:38] Downloading update (4,461 of 6,284 KB)...
